ds,yhat,yhat_lower,yhat_upper
2019-02-20,5994.095270854154,-6195.606753984941,18773.846236749097
2019-02-21,5880.381790670543,-6058.229154278805,18213.924928939297
2019-02-22,5903.623342386958,-5898.323454531486,17458.894815617932
2019-02-23,5883.744699331745,-6026.232135710046,18006.343408634097
2019-02-24,5883.96082016429,-7227.955247435833,18259.234158076273
2019-02-25,5976.405501044594,-7022.685785821214,17937.892140028842
2019-02-26,5892.969272127585,-6245.307319802414,17804.545152708706
2019-02-27,6024.3075007419175,-6211.097960851256,18205.708405460726
2019-02-28,5878.075237096933,-7387.768136803322,18210.04408264671
2019-03-01,5876.896576562149,-5407.271301845911,18175.757440670313
2019-03-02,5841.771605918615,-6061.351733768871,18212.76635691296
2019-03-03,5836.636141292972,-6703.22050362699,18387.09167752726
2019-03-04,5933.969732423711,-5950.051864178193,18389.832572803
2019-03-05,5865.62490701799,-6763.54650705386,18403.251400281453
